 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\He_C_SRIM.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.0000E+00 g/cm3 = 1.0027E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.456E-01  6.612E-02     910 A       314 A       283 A   
  11.00 keV   4.674E-01  6.260E-02     991 A       329 A       301 A   
  12.00 keV   4.882E-01  5.948E-02    1069 A       343 A       317 A   
  13.00 keV   5.081E-01  5.670E-02    1146 A       356 A       333 A   
  14.00 keV   5.273E-01  5.421E-02    1221 A       368 A       348 A   
  15.00 keV   5.458E-01  5.196E-02    1295 A       379 A       362 A   
  16.00 keV   5.637E-01  4.991E-02    1367 A       389 A       375 A   
  17.00 keV   5.810E-01  4.804E-02    1438 A       399 A       388 A   
  18.00 keV   5.977E-01  4.633E-02    1507 A       408 A       400 A   
  20.00 keV   6.297E-01  4.329E-02    1643 A       425 A       422 A   
  22.50 keV   6.671E-01  4.007E-02    1806 A       444 A       448 A   
  25.00 keV   7.019E-01  3.736E-02    1964 A       460 A       472 A   
  27.50 keV   7.344E-01  3.503E-02    2116 A       475 A       494 A   
  30.00 keV   7.648E-01  3.301E-02    2263 A       488 A       513 A   
  32.50 keV   7.930E-01  3.123E-02    2407 A       500 A       532 A   
  35.00 keV   8.194E-01  2.966E-02    2546 A       511 A       549 A   
  37.50 keV   8.440E-01  2.826E-02    2683 A       522 A       565 A   
  40.00 keV   8.670E-01  2.700E-02    2816 A       531 A       581 A   
  45.00 keV   9.086E-01  2.482E-02    3075 A       548 A       609 A   
