 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\He_SiC_SRIM.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  3.1600E+00 g/cm3 = 9.4917E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    050.00    029.95   
     Si     14    050.00    070.05   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.953E-01  5.087E-02     694 A       341 A       291 A   
  11.00 keV   3.096E-01  4.849E-02     759 A       360 A       310 A   
  12.00 keV   3.232E-01  4.637E-02     823 A       378 A       329 A   
  13.00 keV   3.363E-01  4.445E-02     885 A       395 A       346 A   
  14.00 keV   3.491E-01  4.272E-02     947 A       411 A       363 A   
  15.00 keV   3.618E-01  4.113E-02    1008 A       426 A       379 A   
  16.00 keV   3.743E-01  3.968E-02    1068 A       440 A       395 A   
  17.00 keV   3.866E-01  3.835E-02    1127 A       454 A       410 A   
  18.00 keV   3.988E-01  3.711E-02    1185 A       466 A       424 A   
  20.00 keV   4.228E-01  3.490E-02    1299 A       490 A       451 A   
  22.50 keV   4.517E-01  3.253E-02    1436 A       516 A       482 A   
  25.00 keV   4.794E-01  3.051E-02    1569 A       539 A       511 A   
  27.50 keV   5.059E-01  2.876E-02    1696 A       560 A       537 A   
  30.00 keV   5.313E-01  2.722E-02    1820 A       578 A       561 A   
  32.50 keV   5.555E-01  2.586E-02    1940 A       595 A       584 A   
  35.00 keV   5.787E-01  2.465E-02    2056 A       611 A       605 A   
  37.50 keV   6.009E-01  2.357E-02    2169 A       625 A       624 A   
  40.00 keV   6.222E-01  2.258E-02    2280 A       638 A       643 A   
  45.00 keV   6.624E-01  2.087E-02    2493 A       662 A       677 A   
