ASTAR: Stopping Powers and Range Tables for Alpha Particles

CARBON (amorphous, density 2.0 g/cm3)                                   

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

1.000E-03 1.906E+02 1.557E+02 3.463E+02 
1.500E-03 2.256E+02 1.441E+02 3.697E+02 
2.000E-03 2.543E+02 1.340E+02 3.882E+02 
2.500E-03 2.790E+02 1.253E+02 4.043E+02 
3.000E-03 3.009E+02 1.179E+02 4.188E+02 
4.000E-03 3.392E+02 1.058E+02 4.449E+02 
5.000E-03 3.721E+02 9.627E+01 4.684E+02 
6.000E-03 4.014E+02 8.860E+01 4.900E+02 
7.000E-03 4.279E+02 8.223E+01 5.102E+02 
8.000E-03 4.523E+02 7.685E+01 5.292E+02 
9.000E-03 4.750E+02 7.224E+01 5.472E+02 
1.000E-02 4.962E+02 6.822E+01 5.644E+02 
1.250E-02 5.443E+02 6.012E+01 6.044E+02 
1.500E-02 5.869E+02 5.395E+01 6.409E+02 
1.750E-02 6.255E+02 4.907E+01 6.746E+02 
2.000E-02 6.610E+02 4.509E+01 7.061E+02 
2.250E-02 6.938E+02 4.178E+01 7.356E+02 
2.500E-02 7.246E+02 3.897E+01 7.635E+02 
2.750E-02 7.535E+02 3.656E+01 7.900E+02 
3.000E-02 7.808E+02 3.446E+01 8.153E+02 
3.500E-02 8.315E+02 3.098E+01 8.625E+02 
4.000E-02 8.779E+02 2.820E+01 9.061E+02 
4.500E-02 9.208E+02 2.592E+01 9.467E+02 
5.000E-02 9.606E+02 2.402E+01 9.847E+02 
5.500E-02 9.980E+02 2.240E+01 1.020E+03 
6.000E-02 1.033E+03 2.101E+01 1.054E+03 
6.500E-02 1.066E+03 1.979E+01 1.086E+03 
7.000E-02 1.098E+03 1.872E+01 1.117E+03 
7.500E-02 1.128E+03 1.778E+01 1.146E+03 
8.000E-02 1.156E+03 1.693E+01 1.173E+03 
8.500E-02 1.184E+03 1.616E+01 1.200E+03 
9.000E-02 1.210E+03 1.547E+01 1.225E+03 
9.500E-02 1.235E+03 1.484E+01 1.250E+03 
1.000E-01 1.259E+03 1.427E+01 1.273E+03 
1.250E-01 1.366E+03 1.199E+01 1.378E+03 
1.500E-01 1.455E+03 1.038E+01 1.466E+03 
1.750E-01 1.531E+03 9.183E+00 1.540E+03 
2.000E-01 1.595E+03 8.249E+00 1.604E+03 
2.250E-01 1.650E+03 7.500E+00 1.658E+03 
2.500E-01 1.698E+03 6.885E+00 1.704E+03 
