IonEnergy(MeV) dE/dxElec(MeV/(mg/cm2)) dE/dxNuc(MeV/(mg/cm2)) ProjectedRange(um) LongitudinalStraggling(um) LateralStraggling(um)
12.00E-03 4.474E-01 5.277E-03 1597E-04 388E-04 413E-04 
13.00E-03 4.628E-01 4.992E-03 1697E-04 396E-04 426E-04 
14.00E-03 4.774E-01 4.739E-03 1794E-04 404E-04 438E-04 
15.00E-03 4.910E-01 4.514E-03 1889E-04 411E-04 450E-04 
16.00E-03 5.039E-01 4.311E-03 1982E-04 417E-04 461E-04 
17.00E-03 5.160E-01 4.128E-03 2074E-04 423E-04 471E-04 
18.00E-03 5.275E-01 3.962E-03 2163E-04 429E-04 481E-04 
20.00E-03 5.487E-01 3.670E-03 2338E-04 439E-04 499E-04 
22.50E-03 5.721E-01 3.366E-03 2549E-04 451E-04 520E-04 
25.00E-03 5.928E-01 3.114E-03 2753E-04 461E-04 539E-04 
27.50E-03 6.110E-01 2.900E-03 2952E-04 470E-04 556E-04 
30.00E-03 6.273E-01 2.716E-03 3146E-04 479E-04 572E-04 
32.50E-03 6.419E-01 2.557E-03 3336E-04 486E-04 587E-04 
35.00E-03 6.549E-01 2.416E-03 3522E-04 493E-04 600E-04 
37.50E-03 6.667E-01 2.292E-03 3705E-04 500E-04 614E-04 
40.00E-03 6.773E-01 2.181E-03 3886E-04 506E-04 626E-04 
45.00E-03 6.955E-01 1.991E-03 4240E-04 518E-04 649E-04 
50.00E-03 7.103E-01 1.835E-03 4587E-04 530E-04 671E-04 
55.00E-03 7.220E-01 1.703E-03 4929E-04 540E-04 690E-04 
60.00E-03 7.310E-01 1.590E-03 5266E-04 549E-04 709E-04 
65.00E-03 7.376E-01 1.492E-03 5601E-04 558E-04 727E-04 
70.00E-03 7.420E-01 1.407E-03 5933E-04 567E-04 743E-04 
80.00E-03 7.450E-01 1.265E-03 6596E-04 586E-04 775E-04 
90.00E-03 7.418E-01 1.151E-03 7259E-04 605E-04 805E-04 
100.00E-03 7.340E-01 1.057E-03 7929E-04 622E-04 834E-04 
110.00E-03 7.229E-01 9.781E-04 8608E-04 639E-04 862E-04 
120.00E-03 7.097E-01 9.111E-04 9299E-04 656E-04 889E-04 
130.00E-03 6.950E-01 8.534E-04 1.00 673E-04 916E-04 
140.00E-03 6.797E-01 8.031E-04 1.07 689E-04 943E-04 
150.00E-03 6.640E-01 7.588E-04 1.15 706E-04 970E-04 
