IonEnergy(MeV) dE/dxElec(MeV/(mg/cm2)) dE/dxNuc(MeV/(mg/cm2)) ProjectedRange(um) LongitudinalStraggling(um) LateralStraggling(um)
11.00E-03 3.586E-01 4.476E-03 1026E-04 342E-04 333E-04 
12.00E-03 3.735E-01 4.238E-03 1100E-04 352E-04 347E-04 
13.00E-03 3.877E-01 4.028E-03 1171E-04 361E-04 359E-04 
14.00E-03 4.013E-01 3.840E-03 1241E-04 369E-04 371E-04 
15.00E-03 4.142E-01 3.671E-03 1309E-04 377E-04 382E-04 
16.00E-03 4.264E-01 3.518E-03 1376E-04 384E-04 393E-04 
17.00E-03 4.379E-01 3.379E-03 1441E-04 390E-04 403E-04 
18.00E-03 4.488E-01 3.253E-03 1505E-04 397E-04 412E-04 
20.00E-03 4.688E-01 3.029E-03 1630E-04 408E-04 430E-04 
22.50E-03 4.905E-01 2.794E-03 1780E-04 421E-04 450E-04 
25.00E-03 5.090E-01 2.596E-03 1926E-04 432E-04 468E-04 
27.50E-03 5.247E-01 2.428E-03 2069E-04 442E-04 485E-04 
30.00E-03 5.381E-01 2.282E-03 2208E-04 451E-04 500E-04 
32.50E-03 5.493E-01 2.155E-03 2344E-04 460E-04 515E-04 
35.00E-03 5.588E-01 2.043E-03 2479E-04 467E-04 529E-04 
37.50E-03 5.667E-01 1.943E-03 2613E-04 475E-04 542E-04 
40.00E-03 5.733E-01 1.854E-03 2744E-04 482E-04 554E-04 
45.00E-03 5.832E-01 1.699E-03 3006E-04 495E-04 578E-04 
50.00E-03 5.896E-01 1.571E-03 3265E-04 507E-04 601E-04 
55.00E-03 5.932E-01 1.463E-03 3522E-04 519E-04 622E-04 
60.00E-03 5.947E-01 1.370E-03 3780E-04 529E-04 642E-04 
65.00E-03 5.946E-01 1.289E-03 4038E-04 539E-04 661E-04 
70.00E-03 5.930E-01 1.218E-03 4296E-04 549E-04 680E-04 
80.00E-03 5.868E-01 1.099E-03 4819E-04 570E-04 717E-04 
90.00E-03 5.778E-01 1.003E-03 5349E-04 590E-04 752E-04 
100.00E-03 5.671E-01 9.240E-04 5890E-04 609E-04 787E-04 
110.00E-03 5.553E-01 8.573E-04 6443E-04 628E-04 821E-04 
120.00E-03 5.430E-01 8.004E-04 7009E-04 646E-04 855E-04 
130.00E-03 5.306E-01 7.512E-04 7588E-04 665E-04 889E-04 
140.00E-03 5.182E-01 7.081E-04 8182E-04 684E-04 923E-04 
150.00E-03 5.062E-01 6.702E-04 8790E-04 702E-04 958E-04 
160.00E-03 4.944E-01 6.364E-04 9414E-04 721E-04 993E-04 
170.00E-03 4.831E-01 6.061E-04 1.01 740E-04 1028E-04 
180.00E-03 4.723E-01 5.788E-04 1.07 759E-04 1064E-04 
200.00E-03 4.519E-01 5.315E-04 1.21 809E-04 1137E-04 
225.00E-03 4.289E-01 4.829E-04 1.38 880E-04 1231E-04 
250.00E-03 4.084E-01 4.431E-04 1.57 952E-04 1329E-04 
275.00E-03 3.901E-01 4.097E-04 1.77 1026E-04 1430E-04 
300.00E-03 3.736E-01 3.814E-04 1.97 1100E-04 1535E-04 
325.00E-03 3.588E-01 3.570E-04 2.19 1176E-04 1644E-04 
350.00E-03 3.453E-01 3.357E-04 2.41 1253E-04 1757E-04 
375.00E-03 3.331E-01 3.170E-04 2.64 1332E-04 1873E-04 
400.00E-03 3.219E-01 3.005E-04 2.88 1412E-04 1993E-04 
450.00E-03 3.022E-01 2.723E-04 3.38 1652E-04 2243E-04 
500.00E-03 2.852E-01 2.493E-04 3.92 1889E-04 2506E-04 
550.00E-03 2.706E-01 2.301E-04 4.48 2125E-04 2781E-04 
600.00E-03 2.577E-01 2.138E-04 5.08 2360E-04 3069E-04 
650.00E-03 2.463E-01 1.998E-04 5.70 2596E-04 3368E-04 
700.00E-03 2.361E-01 1.877E-04 6.35 2834E-04 3678E-04 
800.00E-03 2.186E-01 1.676E-04 7.74 3589E-04 4331E-04 
900.00E-03 2.041E-01 1.516E-04 9.23 4307E-04 5023E-04 
1.00 1.919E-01 1.385E-04 10.82 5008E-04 5754E-04 
1.10 1.816E-01 1.276E-04 12.50 5701E-04 6520E-04 
1.20 1.713E-01 1.185E-04 14.29 6396E-04 7322E-04 
1.30 1.625E-01 1.106E-04 16.17 7099E-04 8162E-04 
1.40 1.547E-01 1.037E-04 18.16 7810E-04 9040E-04 
1.50 1.477E-01 9.773E-05 20.24 8531E-04 9954E-04 
1.60 1.414E-01 9.243E-05 22.42 9262E-04 1.09 
1.70 1.356E-01 8.770E-05 24.70 1.00 1.19 
1.80 1.304E-01 8.346E-05 27.07 1.08 1.29 
2.00 1.213E-01 7.616E-05 32.08 1.33 1.51 
2.25 1.117E-01 6.874E-05 38.84 1.68 1.79 
2.50 1.036E-01 6.271E-05 46.17 2.03 2.10 
2.75 9.682E-02 5.770E-05 54.03 2.36 2.43 
3.00 9.094E-02 5.347E-05 62.43 2.70 2.77 
3.25 8.581E-02 4.984E-05 71.35 3.04 3.14 
3.50 8.129E-02 4.670E-05 80.78 3.38 3.53 
3.75 7.727E-02 4.396E-05 90.72 3.72 3.93 
4.00 7.368E-02 4.153E-05 101.17 4.07 4.35 
4.50 6.750E-02 3.744E-05 123.52 5.28 5.25 
5.00 6.238E-02 3.411E-05 147.82 6.43 6.22 
5.50 5.806E-02 3.135E-05 174.01 7.56 7.25 
6.00 5.435E-02 2.903E-05 202.08 8.68 8.36 
6.50 5.113E-02 2.704E-05 231.99 9.81 9.52 
7.00 4.831E-02 2.532E-05 263.71 10.96 10.76 
8.00 4.360E-02 2.248E-05 332.44 14.95 13.42 
9.00 3.980E-02 2.025E-05 408.17 18.71 16.32 
10.00 3.666E-02 1.843E-05 490.76 22.40 19.47 
11.00 3.403E-02 1.693E-05 580.06 26.09 22.86 
12.00 3.179E-02 1.566E-05 675.97 29.81 26.47 
13.00 2.985E-02 1.458E-05 778.38 33.57 30.31 
14.00 2.816E-02 1.364E-05 887.20 37.40 34.38 
15.00 2.666E-02 1.282E-05 1.00E03 41.30 38.66 
16.00 2.534E-02 1.210E-05 1.12E03 45.26 43.16 
17.00 2.415E-02 1.146E-05 1.25E03 49.29 47.87 
18.00 2.308E-02 1.089E-05 1.38E03 53.40 52.80 
20.00 2.123E-02 9.901E-06 1.67E03 68.05 63.26 
22.50 1.933E-02 8.905E-06 2.06E03 88.94 77.47 
25.00 1.778E-02 8.098E-06 2.48E03 108.87 92.91 
27.50 1.648E-02 7.430E-06 2.95E03 128.49 109.54 
30.00 1.538E-02 6.868E-06 3.44E03 148.09 127.33 
32.50 1.443E-02 6.389E-06 3.97E03 167.81 146.26 
35.00 1.361E-02 5.974E-06 4.53E03 187.74 166.30 
37.50 1.289E-02 5.612E-06 5.13E03 207.93 187.42 
40.00 1.225E-02 5.293E-06 5.76E03 228.40 209.61 
45.00 1.116E-02 4.757E-06 7.11E03 301.89 257.10 
50.00 1.028E-02 4.323E-06 8.58E03 371.30 308.61 
55.00 9.542E-03 3.964E-06 10.17E03 439.15 364.00 
60.00 8.919E-03 3.662E-06 11.88E03 506.56 423.13 
65.00 8.385E-03 3.405E-06 13.71E03 574.10 485.89 
70.00 7.922E-03 3.183E-06 15.65E03 642.05 552.14 
80.00 7.158E-03 2.818E-06 19.84E03 884.73 694.75 
90.00 6.552E-03 2.531E-06 24.45E03 1.11E03 850.17 
100.00 6.061E-03 2.298E-06 29.46E03 1.33E03 1.02E03 
110.00 5.653E-03 2.106E-06 34.85E03 1.55E03 1.20E03 
120.00 5.310E-03 1.945E-06 40.62E03 1.76E03 1.39E03 
130.00 5.016E-03 1.808E-06 46.73E03 1.98E03 1.59E03 
140.00 4.763E-03 1.689E-06 53.19E03 2.20E03 1.80E03 
150.00 4.541E-03 1.586E-06 59.98E03 2.41E03 2.01E03 
160.00 4.346E-03 1.494E-06 67.09E03 2.63E03 2.24E03 
170.00 4.173E-03 1.414E-06 74.51E03 2.86E03 2.48E03 
180.00 4.018E-03 1.341E-06 82.22E03 3.08E03 2.72E03 
200.00 3.753E-03 1.218E-06 98.48E03 3.88E03 3.23E03 
225.00 3.486E-03 1.093E-06 120.32E03 5.01E03 3.91E03 
250.00 3.270E-03 9.916E-07 143.70E03 6.05E03 4.62E03 
275.00 3.093E-03 9.083E-07 168.53E03 7.04E03 5.37E03 
300.00 2.946E-03 8.383E-07 194.69E03 8.01E03 6.15E03 
325.00 2.820E-03 7.787E-07 222.09E03 8.95E03 6.95E03 
350.00 2.713E-03 7.273E-07 250.63E03 9.88E03 7.77E03 
375.00 2.620E-03 6.824E-07 280.26E03 10.79E03 8.62E03 
400.00 2.539E-03 6.429E-07 310.88E03 11.69E03 9.49E03 
450.00 2.404E-03 5.767E-07 374.83E03 14.89E03 11.26E03 
500.00 2.297E-03 5.231E-07 442.06E03 17.77E03 13.09E03 
550.00 2.210E-03 4.790E-07 512.18E03 20.46E03 14.95E03 
600.00 2.139E-03 4.419E-07 584.83E03 23.01E03 16.84E03 
650.00 2.080E-03 4.104E-07 659.73E03 25.45E03 18.74E03 
700.00 2.030E-03 3.831E-07 736.62E03 27.79E03 20.66E03 
800.00 1.951E-03 3.385E-07 895.42E03 35.93E03 24.52E03 
900.00 1.893E-03 3.035E-07 1.06E06 42.99E03 28.37E03 
1.00E03 1.848E-03 2.752E-07 1.23E06 49.38E03 32.20E03 
1.10E03 1.814E-03 2.519E-07 1.40E06 55.27E03 35.99E03 
1.20E03 1.787E-03 2.324E-07 1.58E06 60.78E03 39.72E03 
1.30E03 1.766E-03 2.157E-07 1.76E06 65.97E03 43.39E03 
1.40E03 1.749E-03 2.013E-07 1.94E06 70.89E03 47.01E03 
1.50E03 1.735E-03 1.888E-07 2.12E06 75.57E03 50.55E03 
1.60E03 1.725E-03 1.778E-07 2.30E06 80.04E03 54.03E03 
1.70E03 1.716E-03 1.680E-07 2.48E06 84.33E03 57.45E03 
1.80E03 1.710E-03 1.593E-07 2.67E06 88.45E03 60.79E03 
2.00E03 1.701E-03 1.444E-07 3.04E06 103.14E03 67.30E03 
2.25E03 1.695E-03 1.294E-07 3.50E06 122.69E03 75.09E03 
2.50E03 1.693E-03 1.173E-07 3.97E06 139.62E03 82.52E03 
2.75E03 1.694E-03 1.073E-07 4.44E06 154.73E03 89.62E03 
3.00E03 1.697E-03 9.896E-08 4.90E06 168.46E03 96.42E03 
3.25E03 1.701E-03 9.183E-08 5.37E06 181.12E03 102.93E03 
3.50E03 1.706E-03 8.569E-08 5.83E06 192.89E03 109.20E03 
3.75E03 1.711E-03 8.034E-08 6.30E06 203.92E03 115.22E03 
4.00E03 1.717E-03 7.563E-08 6.76E06 214.33E03 121.04E03 
4.50E03 1.730E-03 6.775E-08 7.67E06 250.93E03 132.07E03 
5.00E03 1.742E-03 6.139E-08 8.59E06 282.42E03 142.43E03 
5.50E03 1.754E-03 5.615E-08 9.49E06 310.36E03 152.18E03 
6.00E03 1.766E-03 5.175E-08 10.39E06 335.65E03 161.41E03 
6.50E03 1.778E-03 4.801E-08 11.28E06 358.86E03 170.18E03 
7.00E03 1.789E-03 4.479E-08 12.17E06 380.40E03 178.55E03 
8.00E03 1.810E-03 3.952E-08 13.93E06 454.81E03 194.21E03 
9.00E03 1.830E-03 3.539E-08 15.66E06 517.34E03 208.68E03 
