IonEnergy(MeV) dE/dxElec(MeV/(mg/cm2)) dE/dxNuc(MeV/(mg/cm2)) ProjectedRange(um) LongitudinalStraggling(um) LateralStraggling(um)
12.00E-03 3.419E-01 3.794E-03 1558E-04 554E-04 532E-04 
13.00E-03 3.556E-01 3.615E-03 1662E-04 569E-04 552E-04 
14.00E-03 3.688E-01 3.455E-03 1762E-04 583E-04 571E-04 
15.00E-03 3.813E-01 3.310E-03 1861E-04 596E-04 589E-04 
16.00E-03 3.933E-01 3.179E-03 1957E-04 608E-04 605E-04 
17.00E-03 4.046E-01 3.059E-03 2051E-04 619E-04 621E-04 
18.00E-03 4.152E-01 2.949E-03 2143E-04 629E-04 636E-04 
20.00E-03 4.346E-01 2.755E-03 2323E-04 648E-04 664E-04 
22.50E-03 4.556E-01 2.549E-03 2540E-04 669E-04 696E-04 
25.00E-03 4.732E-01 2.375E-03 2751E-04 688E-04 726E-04 
27.50E-03 4.878E-01 2.226E-03 2956E-04 704E-04 752E-04 
30.00E-03 4.999E-01 2.097E-03 3157E-04 720E-04 778E-04 
32.50E-03 5.097E-01 1.984E-03 3355E-04 734E-04 801E-04 
35.00E-03 5.177E-01 1.883E-03 3550E-04 747E-04 824E-04 
37.50E-03 5.240E-01 1.794E-03 3744E-04 759E-04 845E-04 
40.00E-03 5.289E-01 1.713E-03 3937E-04 771E-04 866E-04 
45.00E-03 5.352E-01 1.575E-03 4320E-04 793E-04 905E-04 
50.00E-03 5.380E-01 1.459E-03 4701E-04 814E-04 942E-04 
55.00E-03 5.382E-01 1.360E-03 5084E-04 833E-04 977E-04 
60.00E-03 5.365E-01 1.276E-03 5468E-04 852E-04 1011E-04 
65.00E-03 5.334E-01 1.202E-03 5855E-04 869E-04 1044E-04 
70.00E-03 5.293E-01 1.137E-03 6246E-04 886E-04 1077E-04 
80.00E-03 5.192E-01 1.028E-03 7041E-04 922E-04 1140E-04 
90.00E-03 5.077E-01 9.403E-04 7856E-04 957E-04 1203E-04 
100.00E-03 4.957E-01 8.673E-04 8692E-04 991E-04 1265E-04 
110.00E-03 4.836E-01 8.057E-04 9550E-04 1024E-04 1326E-04 
120.00E-03 4.717E-01 7.531E-04 1.04 1058E-04 1388E-04 
130.00E-03 4.603E-01 7.075E-04 1.13 1091E-04 1451E-04 
140.00E-03 4.492E-01 6.675E-04 1.23 1124E-04 1513E-04 
150.00E-03 4.387E-01 6.322E-04 1.32 1158E-04 1577E-04 
160.00E-03 4.286E-01 6.008E-04 1.42 1192E-04 1641E-04 
170.00E-03 4.190E-01 5.726E-04 1.52 1226E-04 1706E-04 
180.00E-03 4.099E-01 5.471E-04 1.62 1261E-04 1772E-04 
200.00E-03 3.930E-01 5.030E-04 1.83 1347E-04 1907E-04 
225.00E-03 3.741E-01 4.576E-04 2.11 1466E-04 2081E-04 
250.00E-03 3.573E-01 4.203E-04 2.40 1587E-04 2261E-04 
275.00E-03 3.423E-01 3.890E-04 2.70 1710E-04 2447E-04 
300.00E-03 3.288E-01 3.624E-04 3.02 1835E-04 2638E-04 
325.00E-03 3.166E-01 3.395E-04 3.35 1961E-04 2836E-04 
350.00E-03 3.055E-01 3.194E-04 3.69 2089E-04 3039E-04 
375.00E-03 2.954E-01 3.018E-04 4.05 2219E-04 3248E-04 
400.00E-03 2.861E-01 2.862E-04 4.41 2351E-04 3463E-04 
450.00E-03 2.696E-01 2.596E-04 5.18 2727E-04 3908E-04 
500.00E-03 2.554E-01 2.379E-04 5.99 3098E-04 4373E-04 
550.00E-03 2.430E-01 2.197E-04 6.85 3468E-04 4857E-04 
600.00E-03 2.321E-01 2.043E-04 7.75 3838E-04 5360E-04 
650.00E-03 2.224E-01 1.911E-04 8.69 4209E-04 5881E-04 
700.00E-03 2.137E-01 1.795E-04 9.67 4582E-04 6418E-04 
800.00E-03 1.986E-01 1.604E-04 11.74 5719E-04 7542E-04 
900.00E-03 1.861E-01 1.452E-04 13.97 6806E-04 8728E-04 
1.00 1.755E-01 1.328E-04 16.33 7871E-04 9972E-04 
1.10 1.663E-01 1.225E-04 18.84 8926E-04 1.13 
1.20 1.571E-01 1.137E-04 21.48 9986E-04 1.26 
1.30 1.492E-01 1.062E-04 24.28 1.11 1.40 
1.40 1.423E-01 9.965E-05 27.22 1.21 1.55 
1.50 1.361E-01 9.392E-05 30.29 1.32 1.71 
1.60 1.305E-01 8.886E-05 33.50 1.44 1.87 
1.70 1.253E-01 8.434E-05 36.85 1.55 2.03 
1.80 1.207E-01 8.029E-05 40.33 1.66 2.20 
2.00 1.124E-01 7.331E-05 47.69 2.04 2.56 
2.25 1.037E-01 6.620E-05 57.61 2.56 3.03 
2.50 9.644E-02 6.042E-05 68.32 3.07 3.54 
2.75 9.023E-02 5.562E-05 79.80 3.56 4.08 
3.00 8.486E-02 5.156E-05 92.05 4.06 4.66 
3.25 8.018E-02 4.808E-05 105.03 4.56 5.26 
3.50 7.604E-02 4.507E-05 118.76 5.07 5.89 
3.75 7.236E-02 4.243E-05 133.20 5.59 6.55 
4.00 6.906E-02 4.010E-05 148.36 6.11 7.24 
4.50 6.338E-02 3.616E-05 180.77 7.86 8.71 
5.00 5.866E-02 3.297E-05 215.93 9.54 10.29 
5.50 5.466E-02 3.031E-05 253.80 11.19 11.97 
6.00 5.124E-02 2.807E-05 294.32 12.84 13.76 
6.50 4.826E-02 2.616E-05 337.45 14.50 15.66 
7.00 4.564E-02 2.450E-05 383.14 16.17 17.66 
8.00 4.125E-02 2.177E-05 482.01 21.92 21.95 
9.00 3.771E-02 1.961E-05 590.78 27.36 26.64 
10.00 3.479E-02 1.786E-05 709.23 32.70 31.70 
11.00 3.233E-02 1.641E-05 837.16 38.04 37.14 
12.00 3.023E-02 1.518E-05 974.42 43.42 42.94 
13.00 2.841E-02 1.414E-05 1.12E03 48.89 49.09 
14.00 2.682E-02 1.323E-05 1.28E03 54.44 55.59 
15.00 2.542E-02 1.244E-05 1.44E03 60.08 62.44 
16.00 2.417E-02 1.174E-05 1.61E03 65.83 69.62 
17.00 2.305E-02 1.112E-05 1.80E03 71.69 77.13 
18.00 2.204E-02 1.057E-05 1.99E03 77.65 84.97 
20.00 2.029E-02 9.614E-06 2.39E03 98.57 101.63 
22.50 1.850E-02 8.650E-06 2.95E03 128.36 124.21 
25.00 1.703E-02 7.868E-06 3.55E03 156.85 148.71 
