PSTAR: Stopping Powers and Range Tables for Protons

CARBON (amorphous, density 2.0 g/cm3)                                   

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

1.000E-03 1.384E+02 2.514E+01 1.635E+02 
1.500E-03 1.695E+02 2.106E+01 1.905E+02 
2.000E-03 1.957E+02 1.829E+01 2.140E+02 
2.500E-03 2.188E+02 1.625E+01 2.351E+02 
3.000E-03 2.397E+02 1.469E+01 2.544E+02 
4.000E-03 2.702E+02 1.241E+01 2.826E+02 
5.000E-03 2.978E+02 1.081E+01 3.086E+02 
6.000E-03 3.227E+02 9.618E+00 3.323E+02 
7.000E-03 3.454E+02 8.690E+00 3.541E+02 
8.000E-03 3.651E+02 7.943E+00 3.730E+02 
9.000E-03 3.826E+02 7.328E+00 3.899E+02 
1.000E-02 3.987E+02 6.810E+00 4.055E+02 
1.250E-02 4.335E+02 5.814E+00 4.393E+02 
1.500E-02 4.624E+02 5.094E+00 4.675E+02 
1.750E-02 4.874E+02 4.547E+00 4.920E+02 
2.000E-02 5.099E+02 4.115E+00 5.140E+02 
2.250E-02 5.300E+02 3.765E+00 5.337E+02 
2.500E-02 5.477E+02 3.475E+00 5.512E+02 
2.750E-02 5.634E+02 3.229E+00 5.667E+02 
3.000E-02 5.776E+02 3.019E+00 5.806E+02 
3.500E-02 6.039E+02 2.678E+00 6.065E+02 
4.000E-02 6.283E+02 2.411E+00 6.307E+02 
4.500E-02 6.501E+02 2.196E+00 6.523E+02 
5.000E-02 6.686E+02 2.019E+00 6.706E+02 
5.500E-02 6.835E+02 1.870E+00 6.854E+02 
6.000E-02 6.953E+02 1.744E+00 6.971E+02 
6.500E-02 7.045E+02 1.634E+00 7.062E+02 
7.000E-02 7.114E+02 1.539E+00 7.130E+02 
7.500E-02 7.163E+02 1.455E+00 7.178E+02 
8.000E-02 7.194E+02 1.380E+00 7.208E+02 
8.500E-02 7.208E+02 1.313E+00 7.222E+02 
9.000E-02 7.209E+02 1.253E+00 7.221E+02 
9.500E-02 7.197E+02 1.199E+00 7.209E+02 
1.000E-01 7.174E+02 1.149E+00 7.186E+02 
1.250E-01 6.945E+02 9.548E-01 6.954E+02 
1.500E-01 6.611E+02 8.200E-01 6.619E+02 
1.750E-01 6.247E+02 7.204E-01 6.254E+02 
2.000E-01 5.891E+02 6.436E-01 5.898E+02 
2.250E-01 5.560E+02 5.825E-01 5.566E+02 
2.500E-01 5.260E+02 5.326E-01 5.265E+02 
