 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\p_C_SRIM.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.0000E+00 g/cm3 = 1.0027E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.133E-01  5.977E-03    1388 A       369 A       383 A   
  11.00 keV   4.309E-01  5.602E-03    1494 A       379 A       398 A   
  12.00 keV   4.474E-01  5.277E-03    1597 A       388 A       413 A   
  13.00 keV   4.628E-01  4.992E-03    1697 A       396 A       426 A   
  14.00 keV   4.774E-01  4.739E-03    1794 A       404 A       438 A   
  15.00 keV   4.910E-01  4.514E-03    1889 A       411 A       450 A   
  16.00 keV   5.039E-01  4.311E-03    1982 A       417 A       461 A   
  17.00 keV   5.160E-01  4.128E-03    2074 A       423 A       471 A   
  18.00 keV   5.275E-01  3.962E-03    2163 A       429 A       481 A   
  20.00 keV   5.487E-01  3.670E-03    2338 A       439 A       499 A   
  22.50 keV   5.721E-01  3.366E-03    2549 A       451 A       520 A   
  25.00 keV   5.928E-01  3.114E-03    2753 A       461 A       539 A   
  27.50 keV   6.110E-01  2.900E-03    2952 A       470 A       556 A   
  30.00 keV   6.273E-01  2.716E-03    3146 A       479 A       572 A   
  32.50 keV   6.419E-01  2.557E-03    3336 A       486 A       587 A   
  35.00 keV   6.549E-01  2.416E-03    3522 A       493 A       600 A   
  37.50 keV   6.667E-01  2.292E-03    3705 A       500 A       614 A   
  40.00 keV   6.773E-01  2.181E-03    3886 A       506 A       626 A   
  45.00 keV   6.955E-01  1.991E-03    4240 A       518 A       649 A   
