 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 16, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\p_SiC_SRIM.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.1600E+00 g/cm3 = 9.4917E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    050.00    029.95   
     Si     14    050.00    070.05   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.431E-01  4.748E-03     950 A       331 A       319 A   
  11.00 keV   3.586E-01  4.476E-03    1026 A       342 A       333 A   
  12.00 keV   3.735E-01  4.238E-03    1100 A       352 A       347 A   
  13.00 keV   3.877E-01  4.028E-03    1171 A       361 A       359 A   
  14.00 keV   4.013E-01  3.840E-03    1241 A       369 A       371 A   
  15.00 keV   4.142E-01  3.671E-03    1309 A       377 A       382 A   
  16.00 keV   4.264E-01  3.518E-03    1376 A       384 A       393 A   
  17.00 keV   4.379E-01  3.379E-03    1441 A       390 A       403 A   
  18.00 keV   4.488E-01  3.253E-03    1505 A       397 A       412 A   
  20.00 keV   4.688E-01  3.029E-03    1630 A       408 A       430 A   
  22.50 keV   4.905E-01  2.794E-03    1780 A       421 A       450 A   
  25.00 keV   5.090E-01  2.596E-03    1926 A       432 A       468 A   
  27.50 keV   5.247E-01  2.428E-03    2069 A       442 A       485 A   
  30.00 keV   5.381E-01  2.282E-03    2208 A       451 A       500 A   
  32.50 keV   5.493E-01  2.155E-03    2344 A       460 A       515 A   
  35.00 keV   5.588E-01  2.043E-03    2479 A       467 A       529 A   
  37.50 keV   5.667E-01  1.943E-03    2613 A       475 A       542 A   
  40.00 keV   5.733E-01  1.854E-03    2744 A       482 A       554 A   
  45.00 keV   5.832E-01  1.699E-03    3006 A       495 A       578 A   
